question,answer 
خوف توتر خوارج انقباض ...تم أخذ علاج سيروكسات من ٦شهور حتى الأن بهذه الفترة تحسنت ٧٠ بالمئه والأن رجعت حالتي تسوء قليلا مالحل تعبت كثيرا ...أنا ام لأربع أولاد,العوده للطبيب المعالج للمتابعه
سلام .. دكتور اني بنت و مرت بي حالة عاطفية و البجي و صرت عصبية من بعد هل موضوع و حياتي كله صارت بجي و صراخ و لما اي احد يريد يقرب مني ما اعرف شنو يصير بيه افكر و ما اريد اي احد هل يجب استخدم دواء ؟؟,"حياك الله
ممكن تتحدثي مع احد المقربين منك والتحدث عن مشاعرك ولو عندك مخاوف وعن افكارك اتجاه مامر بك
كما سيفيدك تجنب العزلة وومارسة اليوغا والرياضة بشكل يومي
والبحث عن وسيلة للتفريغ الانفعالي بدلا من العصبية"
خوف شديد من اي شغل اقدم عليه,"وعليكم السلام
حاول كتابة الافكار التي تراودك اتجاه اقدامك على الشغل
بعد ذلك افرز الافكار الى منطقية وغير منطقية
ابحث عن الادلة الي تؤيد او تنفي الفكرة
بغدها ابحث عن افكار بديلة ايجابية.. كما سيفيدك ممارسة الرياضة يوميا مع الاسترخاء لخفض التوتر والقلق. التحدث مع المقربين عن ماتشعر به.. حدد اهدافك التي تريد الحصول عليها من الشغل.."
اعاني من حاله نفسيه واكتئاب ولم استطع النوم ما هو العلاج,العلاج متاح لدى الطبيب النفسي الذي سيقيم حالتك
"العمر 16,العزلة،الحزن،عدم التركيز احياناً،النسيان،البكاء بسبب او بدون سبب،ايذاء النفس كل يوم تقريباً،الخوف من الانتحار،الخمول،مشاكل النوم ،انعدام النشاط ،هل احتاج طبيب نفسي؟",الاعراض الي عندك اعراض اكتئاب.. تحتاج لتقيم من مختص نفسي واخذ جلسات علاج معرفي سلوكي..
عمري ١٩ عام في الوقت الاخير اعاني من اظطراب نفسي يسبب لي نوبات كثيرة من البكاء وفقدان الاعصاب لا اتمالك اعصابي حتى في الاوقات العادية واشعر بضربات قلبي وهي تقل وقد يصاحب ذلك اضطرابات معدية في بعض الاوقات مع العلم اني اتناول القهوة منذ ٤ اعوام وتزداد هذه الاعراض في الغالب بعد تناولها,"تعتبر القهوة من المنبهات لاحتوائها على الكافين يمكنك استبدالها بمشروب خالي من الكافين وبدأ التوقف عن شربها بالتدريج..
يفضل مراجعة مختص نفسي لمزيد من التقيم.."
قلق وتوتر ودوخه ودوار وزيادة نبضات القلب لكن ليست كثيرة جدا تزداد عندما اتعرض الى موقف يعصبني ويوترني مع وجود وسواس فكري الخوف من فقدان السيطرة فهل يمكن العلاج بدون ادوية؟وكيف في حال نعم؟وماعلاج الدوار بالاخص؟,"نعم من الممكن العلاج بدون ادوية. العلاج المعرفي السلوكي مع فنيات الاسترخاء
ومهارة حل المشكلات
بالنسبة للدوار يكون مصاحب لكثرة التفكير والقلق
عند تخلصك من القلق والوسواس ستتخلص من الاعراض المصاحبة كالدوار وغيره."
والدي لديه شك اتجاه والدتي وعمره تقريباً ب 60 فهو يتوهم بأمور لا وجود لها ويحززني ذلك وقد اتعبتنا هذه الحالة فهو احياناً لاينام بسبب القلق والشك والمراقبة الذي يعاني منه ماهو علاجه علماً انه قد اخبرناه بأنه يجب ان يتعالج لكنه يرفض ذلك ارجو الرد بعلاج مناسب لحالته,بالحقيقة حالة الوالد تستدعي مراجعة اولا طبيب مخ واعصاب للاطمئنان من عدم وجود اي سبب عضوي ثم مراجعة طبيب نفسي بالعيادة. وممكن ان يحضر الطبيب للمنزل.. ممكن مثلا اخبار الوالد بأنه صديق لكم مثلا..
صديقة لي على طول بتحس انها مليانة وعايزا تخس وتلجاء الي اي شي يخسس سواء ادويه او ترجيع ما هو الحل,نعم من الممكن يكون اضطراب نفسي لكن المدة والشدة هي الي تحدد يفضل مراجعة مختص نفسي
اشعر بشعور سيء يؤثر على حياتي بشكل سلبي، لا استطيع ان اشعر بالفرح مهما حصل من اشياء مفرحة، هناك شعور يأتيني بغته وهو شعور بالراحه وثوانٍ ويختفي، مهما اتحدث لا يكفي ..,"إن عدم القدرة على الشعور بالفرح والسعادة يسمى أيضاً باسم انعدام التلذذ، ويتمثل أيضاً بفقدان الاهتمام بأنشطة تم الاعتياد على الاستمتاع بها ويعتبر أحد الأعراض الأساسية للاكتئاب وغيرها من اضطرابات الصحة العقلية والنفسية. ينصح  بضرورة مراجعة الطبيب المختص بالأمراض النفسية لتقييم الحالة وتحديد العلاج المناسب مع اتباع النصائح التالية:

تشخيص أي مشكلة صحية أو نفسية وعلاجها بأسرع وقت ممكن تحت إشراف الطبيب المختص.
استشارة الطبيب حول الحاجة لتناول مضادات الاكتئاب.
استشارة الطبيب حول العلاج بالصدمات الكهربائية ECT، التحفيز المغناطيسي للخلايا العصبية، أو تحفيز العصب المبهم وغيرها.
التحكم في مستويات التوتر.
إدارة الوقت بطريقة مثالية.
تجربة تمارين التنفس.
ممارسة التمارين الرياضية بشكل منتظم.
الاستمتاع بالحياة من خلال ممارسة ما يشعرك بالسعادة مثل الطهي أو الرقص أو مشاهدة التلفاز أو تناول القهوة وغيرها.
تعزيز الثقة بالنفس.
تجنب شرب الكحول أو التدخين.
اتباع نظام غذائي صحي.
الحصول على قسط كاف من النوم.
التعبير عن المشاعر وتجنب الكتمان.
بناء المرونة في جميع الأنشطة والأوقات خلال اليوم.

للمزيد:

تداعيات الاكتئاب الموسمي العاطفي وتدابيره العلاجية
نصائح مهمة لصحة نفسية جيدة
الفحص النفسي
ما هو الاكتئاب النفسي؟
متى تصبح حالتك النفسية مشكلة
أسباب العزوف عن زيارة الطبيب النفسي
مفاهيم خاطئة حول الأمراض النفسية وتصحيحها
عندما تطفو آلامنا النفسية على أجسادنا

المرجع:

What Is Anhedonia?
How to be happier
Understanding anhedonia: What happens in the brain?"
صديقتي تعاني من رهاب الموت.. لا اعرف ما الحل,من الضروري ان لايكون التشخيص الا من خلال متخصص شاهد الحالة
عندى وجع فصدرى وبيزيد مع كل حركه او كلام او نوم بقاله 3 ايام,التغيرات الجسدية والفزيولوجية والنفسية متعددة وتحتاج منك الى مراجعة طبيب متخصص للتشخيص الدقيق والعلاج
اعاني من وسواس قهري وخوف وقلق,بامكانك مراجعة مستشفى الزاهر فهناك قسم خاص ومتخصصين موثوقين
الشعور الدائم بالحزن والبؤس وفقدان الأمل أغلب الوقت ، الأوهام ، التقلب المزاجي ، الرغبة في الانعزال و التفكير في الموت,اعراض اكتئابيه تتطلب التقييم والعلاج
اعاني : من صدمة نفسية ونوبات هلع وصرع انتقلت من ابها وصلت الرياض اتفاجى الى ادويتي وصافتي ناسيه في منطقة ابها وعجزت احصل وصفة ( اتنمى اي طيبيب يفيدني بوصفة .,بامكانك مراجعة متخصص في الرياض للتشخيص والعلاج ويمكن لاهلك في ابها ان يصوروا لك الوصفة والادوية وتطلعي عليها الطبيب المختص في الرياض الذي سيفحصك ويقرر لك العلاج المناسب
اعاني من كثرت التفكير وتخيل اشياء غير متوقعه واعاني من الم شديد بالجسم والراس وتنميل,برجاء استشاره معالج نفسي او طبيب نفسي .. الكثير من الناس تعاني من القلق و الراحه النفسيه في معظم الحالات يمكن تحقيقها عن طريق تاكيد التشخيص من طبيب مختص و الالتزام بتعليماته باتباع العلاج السلوكيCognitive Behavioral Therapy أو الدوائي SSRI Temporary usage of Benzodiazepines دمت سالما
"هو فيه كل صفات النرجسي بس من ناحيه العلاقات ماشفت عليه شي هو نكدي بشكل مش طبيعي يحب السيطره كل شي ممنوع علي ممنوع اخرج ممنوع اكلم احد ممنوع اخذ فلوس كل شي عنده ممنوع واذا ماسمعت كلامه يسوي مشاكل لي ولاولادي ولازم اشكره ع تقصيره وتعذيبه لي
ايش الحل معاه ؟",ابحثي عن ايجابياته وركزي عليها تعرفي على نقاط الانفعال والحساسية الي عنده وتجنبيها. ابني ذاتك وعززي ثقتك بنفسك.
انا لا استطيع انا اسيطر على غضبي اي عندما اغضب اضرب يدي بقوه في الحائط و دائما ما اتخيل حياه خياليه واعيش معاها واتعايش معها و مزاجي سريع التقلب و دائما يراودني احساس بالذنب,اعمل على التخلص من التوتر ومراجعة مختص نفسي لمزيد من التقيم
اعاني من تغير الساعة البيولوجية للنوم و اضرابات في جسمي و صعوبة في النوم كيف اعدل ساعة النوم كما انني اعاني من كثرة التفكير و التوتر,انت في مقتبل العمر والتشخيص الدقيق لابد ان يكون عند طبيب يشاهد الحالة فاذا حاولت تنظيم يومك ولم تنمي بالنهار ولا زال لديك مشكلة في النوم راجعي اقرب طبيب للتشخيص الدقيق
اعاني من الوسواس القهري الفكري الجنسي تأتيني افكار جنسية شديده وصوت دائمآ براسي يعني اذا احبتت شخصآ يقول لي صوتي اعتبري هاذه الشخص اخوكي قصي وامن بل فكره وابتعد عنه وهناك اشياء مع العلم أن الصوت صوتي ياتيني لاراديآ,راجعي اقرب طبيب نفسي للتشخيص الدقيق
اعاني من الخوف من الموت منذ شهر ، واثر ذلك اصبحت مكتئبة و افكر كثيرا سلبيا، لا اعرف كيف اعيش و اكمل حياتي كانسان عادي لم يعد لدي أمل و اخاف المستقبل، و ذلك إثر نوبه هلع,"إن الخوف أو القلق من الموت لا يعتبر مرضاً أو اضطراب بحد ذاته ولكن قد يكون مرتبطاً بالاكتئاب أو اضطرابات نفسية أخرى مثل:

القلق.
توتر ما بعد الصدمة.
اضطراب الهلع.

ينصح بزيارة الطبيب المختص لتشخيص الحالة وتحديد السبب والعلاج المناسب مع مراعاة النصائح التالية:

العلاج بالكلام مع المعالج لتحديد طرق التعامل مع المشاعر السلبية والمخاوف.
العلاج السلوكي المعرفي من خلال إيجاد حلول للمشاكل.
تقنيات الاسترخاء مثل التأمل والتنفس العميق وغيرها.

للمزيد:

تداعيات الاكتئاب الموسمي العاطفي وتدابيره العلاجية
ما هو الاكتئاب النفسي؟
متى تصبح حالتك النفسية مشكلة
مفاهيم خاطئة حول الأمراض النفسية وتصحيحها
عندما تطفو آلامنا النفسية على أجسادنا
التعامل مع نوبات الهلع
نوبات واضطرابات الهلع

المرجع:

Everything You Should Know About Thanatophobia
What to know about the fear of death"
تعوضت للتشنج خمس مرات خلال اقل من 24 ساعة و راجعت الطوارئ و حكولي السبب زعل او توتر مع العلم اني ما كنت متضايقة وقتها و لكن في موضوع مضايقني من فترة طويلة يعني قريب السنة انا اتسائل ايش هسا صار معي التشجنات و هل كل ما ازعل رح اصير اتشنج؟,"احيانا تجينا اعراض نفسية دون ان نعرف السبب، فترات حزن فجأة بالرغم من عدم حدوث مايستدعي الحزن. شعور بالقلق والتوتر فجأة....
الامر غالبا يرجع لخبرة قديمة رسخت بالعقل الباطن ولم يتم التعامل معها بشكل جيد...
الحل مراقبة الافكار التلقائية اولا والبحث عن اذا كان في افكار سلبية
مواجهة ماحدث بالماضي وعدم الهروب منه بل تقبله والسعي الى ازالة اثره.."
"اريد اكون شخصيه قويه لاتنهز ولاتخجل ولاتخاف واكون عندي كريزما اجتماعيه جيده..
شكرا لكم للافاده الرائعه",من خلال التركيز على الإيجابيات الموجودة لديك، والابتعاد عن أي تفكير سلبي، والنظر إلى نفسه بأنه شخصيّة مهمة وله قيمة ووزن في المجتمع، وعدم تحقير نفسه، تجنب المقارنة قدر الامكان بين نفسه والاخرين، اخذ دورات في مهارات التواصل ، وأن تكون لديه نظرة تفاؤلية في الحياة، حتى يكون إنساناً ناجحاً وذا شخصيّة قوية. تقوية العلاقات الاجتماعية ومخالطة الناس، والمشاركة في أي حوار ونقاش.  القيام بممارسة التمارين الرياضية الجماعية، مثل الخروج للمشي، لأنّ ذلك يعزز ثقة الإنسان بنفسه نتيجة لتعامله مع عدد كبير من الأشخاص.
مشكلتي يا طبيب انو عندي هوس بالتفكير ، بدو يطق راسي من التفكير وكمان دوم بضل لحالي وبغرفتي ، ممكن تقلي شو العلاج ؟,يمكن اتباع طريقةٍ لوقف التفكير السلبي، وهي أنّه عندما تداهم الفرد أفكار سلبية عليه أن يقوم بوضع شريطٍ مطاطي حول معصم اليد، ويقول لنفسه توقفي، وبعد فترةٍ من الوقت سيتفاجأ الفرد من توقف هذه الأفكار، وبعد ذلك لا بدّ من تخيل الأفكار الممتعة، أو تصور المشهد الذي يُشعر الذات بالهدوء، مثل: التفكير في التحدث مع من تحب او الخروج برحلة ممتعة ، وغيرها من الأفكار الإيجابية، وهذا بالفعل سيمنع استمرارية التفكير السلبي.
كيف اتخلص من تعلقي بشخص ما و كيف اعرف قيمه نفسي بجد من داخلي,بناء الثقة بالنفس من خلال التركيز على الإيجابيات الموجودة لديه، والابتعاد عن أي تفكير سلبي، والنظر إلى نفسه بأنه شخصيّة مهمة وله قيمة ووزن في المجتمع، وعدم تحقير نفسه، تجنب المقارنة قدر الامكان بين نفسه والاخرين، اخذ دورات في مهارات التواصل ، وأن تكون لديه نظرة تفاؤلية في الحياة، حتى يكون إنساناً ناجحاً وذا شخصيّة قوية. تقوية العلاقات الاجتماعية ومخالطة الناس، والمشاركة في أي حوار ونقاش. إيمان الشخص بالله سبحانه وتعالى؛ لأنّ الإيمان بالله يشعر الإنسان بالراحة النفسية والطمأنينة في جميع جوانب الحياة، ويخلصه من الشعور بالخوف والقلق الذي يسيطر عليه. القيام بممارسة التمارين الرياضية الجماعية، مثل الخروج للمشي، لأنّ ذلك يعزز ثقة الإنسان بنفسه نتيجة لتعامله مع عدد كبير من الأشخاص.
انفاخ شديد ويومي في قالوني ورغبة في تبرز اكثر من ٤مرات باليوم وخصوصا في العمل واعاني من الجلوس على كرسي فقد احس ان بطني تريد الخروج ..علما جميع تحاليل والنواظير طلعت سليمه ..لكن كنت سابقا اخذ ليبو سكس وبعدة زنكال واخاف تكون هنه سبب المشكله لان اطباء يقولون ليس فيك شيء وعندي تجشأ فقد وباسور داخلي ..,فى البداية يرجى معرفة تاريخك الطبى والنبى هل انت مدخن؟هل تداوم على شرب المنبهات مثل القهوة والشاى؟هل تتعرض الى ضغط نفسى فى المجتمع أو العمل؟منذ متى ظهرت تلك الحالة؟لماذا تم وصف تلك الأدوية لك وما كانت نتيجتها؟
السلام وعليكم دكتور انا قبل شهرين دخنت ثلث سحبات من سقارت مخدرات ومن بعده عانيت بشعور خوف لمدت اسبوع ولاكن يبقى شعور غريب داخلي ويتبدل هاذا الشعور وذهبت لطبيب فنصحني سبرالكس,قدتكون بسبب المادة المخدرة
"هل تجاهل إسائة الاهل او الناس يفقدني عزة النفس؟
بالذات عندما يزيدوا فيها فانا احس بالذل والاهانة",بالعكس من الجيد تجاهل كلام الناس الغير مفيد والمؤذي .استمر بالتجاهل وحدث نفسك بكلام ايجابي عكس كلامهم
"هل يؤثر القلق والاكتئاب المزمن والتوتر على المعدة؟ هل يسبب اي أمراض عضوية او وظيفيه او اي تأثير على المعدة؟
ارجوكم ساعدوني.",نعم .التوتر والقلق يثير ويهيج الجهاز الهضمي كما يضعف المناعةمجرد التخلص من التوتر والقلق تختفس تماما الاعراض المصاحبة.سيفيدك الاسترخاء والتحدث مع الاخرين في خفض التوتر.
"الخوف عند قيادة السيارات في الاماكن المزدحمه
و الاحساس بأن الناس قد يصدموني
و صعوبة تقدير المسافه
بالتالي ضعف التركيز
و تعليقات الناس على طريقة القياده في حال كان معي احد","بالاول انت بحاجة الى تغير طريقتك بالتفكير اتجاه القيادة واتجاه الازدحام
اكتب الافكار ثم عند كل فكرة ابحث عن فكرة موزونة اكثر ايجابية
وحاول التخلص من التوتر ممارسة الاسترخاء والتنفس العميق"
عزباء ٢٢ من يومي صغيره الكل لاحظ علي وقت الحزن اضحك يعني شخص ميت وبالعزاء والناس تبكي انا ابتسم تجيني ضحكه مو اضحك بصوت عالي لا بس ابتسم ابتسامتي كبيرع وواضحه مع اني حزينه بس اذا شفت احد يبكي او معصب م ادري مشاعري تنقلب اضحك مع اني خايفه واحس باحراج بوقت احد يبكي يحسب م عندي احساس وانا احس بالمشاعر,المعلومات الي ذكرتيها ليست كافية للتقيم نحتاج معلومات وتفاصيل اكثر هل في اعراض نفسية مصاحبة؟كيف بدأت الحالة؟هل سبق الحالة فترة حزن؟
انا عندي اضطراب ف الاكل بمعني اني اتعرضت لصدمات ف فتره خلت عندي لو سيرة شخص معين اتجابت او حتي جت بيني و بين نفسي و ممكن اقعد ع كده اسابيع هل ده مرض نفسي؟,هذا سوء تكيف او تفريغ نفسي .انت بحاجة الى تغير طريقتك بالتفريغ الانفعالي بطريقة لاتشكل خطرا كالكتابة مثلا وغيرها سيفيدك الاسترخاء وممارسة اليوغا بشكل يومي .دربي نفسك على سمع اسمه بكثرة مع منع اي استجابة بالبداية من خلال فقط التخيل ثم ابدأي بالتدريج ..
مثل التأمل ولكن اريد ماهو غير التأمل وكم استمر على علاج الاكتئاب للعلم اكتئابي متوسط متكرر,"الاسترخاء والتنفس العميق,تغير الروتين,تجنب العزلة والتواصل مع الاخرين.معالجة طريقة التفكير.ممارسة الرياضة بشكل يومي,ممارسة هوايات وانشطة محببة باستمرار,التفريغ وعدم الكبت ..."
اذا ذهبت للفراش لكي انام اغمض عيوني تبداء بارتجاف ويزيد عندي خفقان القلب وابدا بتعرق ولا استطيع النوم ويجيني خوف وقلق وابدا بالبكاء ولا استطيع السيطره على نفسي ابدا ،، ما انام الا بدواء اتابينا وصفه لي دكتور نفساني ،، لماذا لا استطيع النوم ولماذا تظهر هاذي الاعراض,اسباب اضطراب النوم مختلفة ومتعددة. ربما بسبب القلق او التوتر او بسبب كثرة التفكير او الضغوط والمشاكل المهنية او الاسرية ربما بسبب تناول كافين ومنبهات او عدم تحديد وقت ثابت للنوم...
السلام عليكم دكتور، انا اشعر بالتوتر كثيرا فيرتفع عندي ضغط الدم و بلأخص في هذه الفترة (فترة الإمتحانات). ماذا يجب علي ان افعل؟ ساعدني!,تدربي على التعامل مع الضغوط والاسترخاء والتفكر الارتقائي مع تنظيم نمط حياتك اليومية بشكل متوازن
انا شاب في سن 19 من عمري عندي خجل وخوف لما اري الناس وهذا الأعراض لا إرادي صعب السيطره عليها أشعر انني غير مرتاح او غير موزون وأشعر بعدم التركيز وعدم الاتزان. وشكر لكم,"اضطراب القلق الاجتماعي أو الرهاب الاجتماعي (بالإنجليزية: Social Anxiety Disorder) هو أحد أمراض القلق الشائعة، الذي ينطوي على شعور الفرد بالخوف من الخوض في المواقف الاجتماعية المختلفة كالتحدث ولقاء أشخاص جدد، أو التقدم لمقابلات العمل، أو حتى ممارسة الأنشطة اليومية المتنوعة أمام الناس والرهبة من مواجهتم، حيث ينتهي المطاف بهؤلاء المصابين بهذا النوع من الاضطرابات بالابتعاد عن مثل هذه المواقف والاعتزال.
إن اضطراب الرهاب الاجتماعي ليس مجرد خجل فحسب بل هو أكثر من ذلك، لأن الخجل حالة قصيرة المدى ولا تعطل الحياة، بينما القلق الاجتماعي مستمر ومتعب قد يبقى لسنوات طويلة في حال عدم تلقي العلاج، بصورة تؤثر على المريض بشتى أنحاء حياته من دراسة وعمل وبناء العلاقات الاجتماعية. يلاحظ ظهور عدة أعراض على المصابين بالرهاب الاجتماعي تتضمن:

الارتعاش واحمرار الخدود و التعرق وتسارع دقات القلب.
الشعور بالغثيان.
الجمود وضعف التواصل بالعين.
الصعوبة في التكلم.
الإحساس بالدوخة والصداع.
الابتعاد عن أماكن التجمعات.

لا يوجد سبب معين لحدوث مثل هذه الحالات، لكن يُعتقد أنها تحدث تبعاً لعدة ظروف بيئية ونفسية تشمل:

التنمر.
المواقف السيئة المتكررة.
المشاكل العائلية.
العنف الجنسي.
التشوهات الجسدية.
التاريخ المرضي للعائلة.

الخطوة الأولى من العلاج تتضمن إجراء تشخيص كامل من قبل الطبيب المختص، ومن ثم يتبعها العديد من العلاجات المتاحة التي تختلف نتائجها من شخص إلى آخر، بحيث قد يلزم الأخذ بأكثر من علاج لتجاوز هذا الأمر، تشمل هذه العلاجات ما يلي :

العلاج النفسي (بالإنجليزية: Psychotherapy)، العلاج النفسي أو العلاج السلوكي المعرفي أو يعرف أحيانا بعلاج التحدث، والذي يساعد الفرد على تعلم مجموعة من الطرق والأساليب للتحكم بالقلق والخوف بالإضافة إلى تعلم مهارات التواصل مع الناس .
مجموعات الدعم (بالإنجليزية: Support Groups)، وهي من الأساليب المفيدة في تنمية العلاقات الاجتماعية والتفاعل مع الناس كذلك، عادةً ما يتم تطبيق هذا العلاج بوجود عدة أشخاص يعانون من نفس المرض، مما يسهم في تقليل الخجل والخوف عند التكلم مع الآخرين.
العلاج الدوائي والذي يتضمن كل من مضادات القلق والتوتر، ومضادات الاكتئاب، وحاصرات بيتا وكل ذلك تحت إشراف الطبيب فقط.
التدابير المنزلية بما في ذلك تقليل الكافيين والحصول على قدر كاف من النوم بما لا يقل عن 8 ساعات يومياً.

للمزيد: 

الرهاب الاجتماعي اضطراب نفسي محرج"
اعاني عدم القدره علي النوم منذ سنوات و استعملت ادويه كثيره واخيرا سيروكويل و ريميرون و للاسف لم ينجحا اشعر بانني مرهق وفي في حاجه للنوم و لا استطيع ان انام و لذلك تناولت نايت كالم معهما للدخول في النوم. فعلا تعبت. اعاني من الضغط و خوارج بطينيه,فد يكون من الافضل تقيم الحالة النفسية مع مختص نفسي للبحث عن الاسباب وعلاجها
"السلام عليكم.
انا عندي مشكلة مع والدي لكن لا امانعها كثيراً إن لم تكن مضرة لجسمي، المشكلة انه دائماً يوقظني من النوم بمفاجأة، مثال.. اصوات عاليه مثل ضرب الباب والصراخ وأحياناً رش الماء البارد وهذا بسبب نومي العميق، وفي اغلب الأحيان الاحظ ان قلبي يدق بسرعة مقارنة بالاستيقاظ الطبيعي.. وشكرا",وعليكم السلام ..اذا في وقت محدد يقوم في الوالد بأيقاظك حاول تنظيم نومك بحيث انك تكون قد اتممت مالايقل عن 8ساعات نوم هذا اولا .ثم اعمل على ربط المنبه قبل الوقت المتوقع لدخول والدك وايقاظك حتى تستيقيظ قبل دخولهمع الوقت لما يتعود الوالد على انك اصبحت تستيقظ بنفسك حيقل تلقائي ايقاظه لك.
عاميت من موقف اتعصبت فيه جامد معاه موقف محزن جدا بعده حصل الم في الصدر ناحيه اليمين لدرجه مش ببدر اخد نفسي هل ليهم علاقه ببعض لان الام متكرر,نعم. حاول التخلص من الحزن والتوتر
دایخه علی طول وهبطانه وحالاتی النفسیه تعبانی جدا والقاولون دیما تعبنی,لابد من التاكد من الحالة الصحية الجسدية اولا راجعي طبيب الاسرة فان افاد بسلامتك الجسدية لابد من مراجعة طبيب نفسي للتشخيص الدقيق
عند التكلام مع ناس لا استطيع النطق بالكلمات,لابد من مراجعة متخصص للتشخيص الدقيق
انا دايما بحس اني بفكر في حاجات تضايقني ودا بيخليني اعمل مشاكل مثلا مع خطيبتي و بياثر عليها معرفش ايه الحل,اولا لابد من تنظيم حياتك اليومية ومن ثم تقوم بعمل مراقبة ذاتية لنفسك على مدار اليوم تلاحظ فيها انشطتك واهدافك وانجازها وتقلبات مشاعرك وافكارك ومن ثم تجلس مع المعالج النفسي للتشخيص الدقيق والعلاج
اعاني من ارق واخدت ماغنسيوم مكمل غذائي جاني صداع وباخدعلاج نفسي للفصام,من الافضل مراجعة طبيبك لمناقشة الاعراض الجانبية للدواء
دكتور اني عندي صخونه خفيفه كلش بس مرات يجيني ضيق والنفس بالموت اجره احس حسره وأكثر شي تحيني من افكر واضوج ونحول ومالي خلك انطيني نوم ومع العلم اني امارس الرياضه,حاول عدم التركيز على الاعراض الجسدية والتركيز على نشاطات خارجية..كماذكرت السخونة خفيفة ولا تقلق لكن يبدو انك تشعر بقلق اتجاهها مما يعمل اعراض مثل ضيق التنفس الذي بدوره يسبب خوف من الموت ممايزيد الاعراض عندك...وبذلك تدخل نفسك بدوامة وبحلقة مفرغة
اعاني من ارق وقل نوم انام بليوم ٣ساعات متقطعه.,وعليكم السلام نظمي وقت نومك كمان الاسترخاء واليوغا مفيدة مع تجنب المنبهات
اعاني بعض الوقت من إيذاء النفس عندما تسوء حالتي النفسيه مثل إيذاء النفس بالمشرط او السكين، ما الحل؟,"إيذاء النفس أو تشويه الذات أو الإساءة إلى الذات (بالإنجليزية:Self-Injury) هي عندما يقوم شخص ما بإيذاء نفسه بشكل متكرر وبطريقة اندفاعية ولكن ليس بقصد القتل أو الانتحار مخلفاً ظهور علامات وجروح على مختلف مناطق جسمه نتيجة قيامه بعدة أفعال تتضمن :

شق أو ضرب الجسم باستخدام الآلات الحادة.
قشط الجلد أو إعادة فتح الجروح.
إدخال أدوات غريبة في فتحات الجسم المختلفة.
نتف الشعر.
الوشم بكثرة.
الضرب وكسر العظام.
الحرق أو استخدام الأشياء الساخنة على الجلد.

يعود سبب أذية النفس إلى شعور الشخص بالفراغ والوحدة وصعوبة تكوين العلاقات نتيجة شعورهم بالكراهية، أو التنمر من قبل الآخرين، أو عدم القدرة على تحمل المسؤولية كذلك، كما تعتبر هذه الأفعال سبيل للتأقلم مع الألم العاطفي والغضب الشديد والشعور بالإحباط أو انعدام القدرة على التعبير عن المشاعر أو التعامل معها.
بالإضافة إلى ذلك من الممكن أن يقدم الشخص على إيذاء نفسه لعدة أسباب تتضمن:

تخفيف المشاعر الشديدة والضغط والقلق.
طلب المساعدة بطريقة غير مباشرة أو لفت الانتباه.
التأثير بالآخرين واللعب بعواطفهم.
معاقبة النفس على أخطاء معينة.
وسيلة للسيطرة على الألم.
إدمان الكحول أو المخدرات.
اضطراب الأكل.

 دائما ما يوصى بمراجعة الطبيب كخطوة أولى لعلاج مثل هذه الحالات، لا سيما أن سبل العلاج الأخرى تعتمد على تشخيص الطبيب بشكل رئيسي، ومن ثم يتبع هذا التشخيص بمجموعة من الأساليب والطرق للتعامل مع استمرار إيذاء النفس تشمل ما يلي:

العلاج النفسي ،استشارة أحد الأطباء النفسيين يساعد في أغلب الأحيان على تجاوز هذه الحالة والخروج منها.
العلاج السلوكي الجدلي ( بالإنجليزية: Dialectical Behavior Therapy)، وسيلة علاج نفسي تساعد الأشخاص على تغيير نمط سلوكهم وتعلم طرق لتحمل الضغط والتوتر بصورة أفضل واكتساب مهارات تأقلم جديدة من خلال بعض التقنيات كاليقظة و تقبل الذات والتعرف على المشاعر السلبية والتغلب عليها.
العلاج النفسي الجماعي، يساعد التكلم ومشاركة أسباب إيذاء النفس ضمن مجموعة من الأشخاص الذين يعانون من نفس الحالة على كسر شعور الخجل وتعزيز قدرة التعبير عن المشاعر.
التنويم المغناطيسي وتقنيات الإسترخاء الذاتي ( بالإنجليزية:hypnosis and self-relaxation techniques) مثل ممارسة اليوغا.
العلاج النفسي العائلي، من خلال وجود دعم من العائلة للمريض وعدم نبذه أو الابتعاد عنه.
الاستعانة ببعض الأدوية تحت إشراف الطبيب فقط بما في ذلك:


مضادات الاكتئاب.
أدوية تقليل القلق والتوتر.
مضادات الذهان.

للمزيد:

الثقة بالنفس وتقدير الذات"
لا تعانى من اى اعراض اخرى سوى عدم الاحساس بالشم,"العزل المنزلي
عدم الخوف
المتابعة المنتظمة للحرارة
الغذاء الصحى الجيد
النوم الجيد
التعرض للشمس نصف ساعه يوميا
المشروبات الساخنة بانتظام زنجبيل ينسون نعنع قرفة قهوة شاي اخضر
شرب الماء ٨كوب باليوم
السلطة يوميا مع إضافة البصل والثوم لها"
أعاني من اكتئاب منذ مدة قرابة ٣ أشهر، يصطحب ذلك صداع في الرأس قلة النوم والتركيز قلة الأكل..إضافة الى نبضات القلب تكون مزتف جدًا في أوقات ومنخفضة في اوقات أخرى,"حاول معالجة طريقة التفكير من خلال تغير الافكار السلبية الى افكار موزونة اكثر ايجابية
قاوم الاستسلام للاكتئاب وللخمول
ابقى على تواصل مع الاخرين
اكتب كل ماتفكر في وتشعر بالانزعاج اتجاهه واسمح لنفسك بذرف الدموع
مارس اليوغا. خطط للمستقبل وارجع مارس هواياتك."
